Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
4.852101802825928;354;;;;;;;
4.864218235015869;364;;;;;;;
4.871860980987549;366;;;;;;;
4.881053924560547;374;;;;;;;
4.893067836761475;372;;;;;;;
4.901289463043213;380;;;;;;;
4.911853313446045;368;;;;;;;
4.921528577804565;378;;;;;;;
4.932273626327515;374;;;;;;;
4.940393686294556;372;;;;;;;
4.951014757156372;362;;;;;;;
4.962793350219727;366;;;;;;;
4.971076011657715;354;;;;;;;
4.98321008682251;346;;;;;;;
4.991327524185181;346;;;;;;;
5.00368070602417;344;;;;;;;
5.012007713317871;328;;;;;;;
5.024250268936157;330;;;;;;;
5.0301899909973145;314;;;;;;;
5.044780969619751;316;;;;;;;
5.0528175830841064;302;;;;;;;
5.06533670425415;292;;;;;;;
5.073338747024536;278;;;;;;;
5.081448554992676;278;;;;;;;
5.09375;258;;;;;;;
5.102080583572388;256;;;;;;;
5.114694595336914;234;;;;;;;
5.122325658798218;234;;;;;;;
5.1346755027771;218;;;;;;;
5.142932176589966;204;;;;;;;
5.155496120452881;186;;;;;;;
5.16332221031189;182;;;;;;;
5.175734996795654;184;;;;;;;
5.183879137039185;176;;;;;;;
5.196138620376587;164;;;;;;;
5.204347372055054;158;;;;;;;
5.211308002471924;154;;;;;;;
5.225279331207275;146;;;;;;;
5.22896671295166;120;;;;;;;
5.24531626701355;132;;;;;;;
5.253528833389282;128;;;;;;;
5.265896797180176;124;;;;;;;
5.272331714630127;120;;;;;;;
5.2862708568573;118;;;;;;;
5.29454493522644;118;;;;;;;
5.306683540344238;114;;;;;;;
5.314753532409668;118;;;;;;;
5.327530384063721;120;;;;;;;
5.3355491161346436;114;;;;;;;
5.3433215618133545;118;;;;;;;
5.355824947357178;118;;;;;;;
5.363941669464111;124;;;;;;;
5.376368284225464;124;;;;;;;
5.384589433670044;122;;;;;;;
5.394615173339844;134;;;;;;;
5.4054176807403564;140;;;;;;;
5.417306184768677;140;;;;;;;
5.422402620315552;148;;;;;;;
5.434485197067261;150;;;;;;;
5.445800542831421;160;;;;;;;
5.4580652713775635;176;;;;;;;
5.465825796127319;170;;;;;;;
5.478682279586792;188;;;;;;;
5.4869160652160645;202;;;;;;;
5.494693279266357;206;;;;;;;
5.507259130477905;224;;;;;;;
5.515844821929932;224;;;;;;;
5.527979135513306;238;;;;;;;
5.536111831665039;244;;;;;;;
5.548032283782959;252;;;;;;;
5.554974794387817;272;;;;;;;
5.568033218383789;276;;;;;;;
5.577073097229004;288;;;;;;;
5.589009523391724;298;;;;;;;
5.597527027130127;296;;;;;;;
5.609832048416138;308;;;;;;;
5.618100643157959;316;;;;;;;
