"x Ressort 40N.m-1 (mm)","x Ressort 50N.m-1 (mm)","x Ressort 100N.m-1 (mm)","Temps (s)"
13.043522834777832,15.431427955627441,18.01968812942505,1.270000000000001
12.965834140777588,15.505027770996094,18.232309818267822,1.280000000000001
11.530637741088867,16.551780700683594,17.148756980895996,1.290000000000001
11.457037925720215,16.236937046051025,17.737555503845215,1.300000000000001
12.618279457092285,16.621291637420654,16.527247428894043,1.310000000000001
11.056327819824219,16.012048721313477,17.52084493637085,1.320000000000001
12.19712495803833,14.556407928466797,17.831599712371826,1.330000000000001
10.340774059295654,15.599071979522705,17.38182306289673,1.340000000000001
11.121749877929688,15.357828140258789,18.277287483215332,1.350000000000001
11.395704746246338,14.082098007202148,16.674447059631348,1.360000000000001
9.657931327819824,13.24387788772583,16.29009246826172,1.370000000000001
9.751975536346436,13.247966766357422,18.20777654647827,1.380000000000001
10.33259630203247,12.769567966461182,17.549467086791992,1.390000000000001
9.592509269714355,13.141655921936035,17.95017719268799,1.400000000000001
8.815622329711914,12.655079364776611,17.13649034500122,1.410000000000001
9.416687488555908,12.532413005828857,19.07052993774414,1.420000000000001
8.754289150238037,12.049925327301025,17.97879934310913,1.430000000000001
8.459889888763428,11.289393901824951,19.491684436798096,1.440000000000001
7.867002487182617,10.847795009613037,18.82110834121704,1.450000000000001
8.566200733184814,9.641575813293457,18.461287021636963,1.460000000000001
8.001935482025146,9.772419929504395,19.450795650482178,1.470000000000001
7.932424545288086,9.952330589294434,19.929194450378418,1.480000000000001
7.404959201812744,9.35126543045044,19.90875005722046,1.490000000000001
7.871091365814209,9.23677682876587,19.438529014587402,1.500000000000001
7.44175910949707,9.23677682876587,18.166887760162354,1.5100000000000011
7.494914531707764,9.232687950134277,18.841552734375,1.5200000000000011
8.051002025604248,9.277665615081787,19.59390640258789,1.5300000000000011
7.96513557434082,9.94415283203125,18.469464778900146,1.5400000000000011
8.337223529815674,9.69473123550415,19.127774238586426,1.5500000000000012
8.962821960449219,10.426640510559082,17.627155780792236,1.5600000000000012
8.235001564025879,10.246729850769043,17.925643920898438,1.5700000000000012
9.363532066345215,10.201752185821533,18.15871000289917,1.5800000000000012
8.746111392974854,10.631084442138672,16.72760248184204,1.5900000000000012
9.850108623504639,11.432504653930664,17.263245582580566,1.6000000000000012
9.228599071502686,11.371171474456787,18.20777654647827,1.6100000000000012
10.802817344665527,12.28708028793335,17.737555503845215,1.6200000000000012
9.711086750030518,13.145744800567627,18.146443367004395,1.6300000000000012
10.860061645507812,13.575077056884766,18.04831027984619,1.6400000000000012
9.743797779083252,13.983964920043945,18.289554119110107,1.6500000000000012
11.21988296508789,13.824498653411865,17.512667179107666,1.6600000000000013
10.144507884979248,13.1089448928833,17.144668102264404,1.6700000000000013
10.639262199401855,15.255606174468994,17.741644382476807,1.6800000000000013
11.722815036773682,14.13116455078125,18.694353103637695,1.6900000000000013
10.962283611297607,15.116584300994873,17.144668102264404,1.7000000000000013
10.598373413085938,15.635871887207031,18.596220016479492,1.7100000000000013
10.144507884979248,15.72582721710205,18.75159740447998,1.7200000000000013
10.132241249084473,15.648138523101807,17.99924373626709,1.7300000000000013
10.267174243927002,14.634096622467041,18.510353565216064,1.7400000000000013
10.590195655822754,14.159786701202393,19.082796573638916,1.7500000000000013
10.941839218139648,15.186095237731934,19.49986219406128,1.7600000000000013
12.143969535827637,13.256144523620605,19.61843967437744,1.7700000000000014
10.618817806243896,13.79178762435913,19.597995281219482,1.7800000000000014
10.164952278137207,14.392852783203125,19.54892873764038,1.7900000000000014
11.281216144561768,12.777745723724365,19.05008554458618,1.8000000000000014
10.205841064453125,12.35659122467041,18.555331230163574,1.8100000000000014
9.6701979637146,12.430191040039062,18.489909172058105,1.8200000000000014
10.7169508934021,12.524235248565674,19.238173961639404,1.8300000000000014
9.240865707397461,12.229835987091064,18.653464317321777,1.8400000000000014
10.414373874664307,11.03588342666626,17.643511295318604,1.8500000000000014
9.310376644134521,11.10539436340332,16.825735569000244,1.8600000000000014
9.19179916381836,11.338460445404053,18.755686283111572,1.8700000000000014
9.915530681610107,10.594284534454346,18.63710880279541,1.8800000000000014
8.815622329711914,10.868239402770996,17.696666717529297,1.8900000000000015
8.778822422027588,10.164952278137207,17.65986680984497,1.9000000000000015
9.253132343292236,9.711086750030518,16.707158088684082,1.9100000000000015
9.78468656539917,10.05864143371582,16.731691360473633,1.9200000000000015
8.889222145080566,10.070908069610596,16.72760248184204,1.9300000000000015
8.410823345184326,10.115885734558105,17.63533353805542,1.9400000000000015
8.333134651184082,10.197663307189941,18.121910095214844,1.9500000000000015
