Temps;Distance (mm);Masse (g);K (raideur du ressort);Fluide d'amortissement;Degré d'ouverture;Date d'éxperience;Nom d'utilisateur;Numéro de l'essai
3.2705061435699463;176;;;;;;;
3.2818684577941895;182;;;;;;;
3.2943532466888428;196;;;;;;;
3.302780866622925;206;;;;;;;
3.3145668506622314;220;;;;;;;
3.3226263523101807;214;;;;;;;
3.335296154022217;244;;;;;;;
3.3435113430023193;254;;;;;;;
3.3539140224456787;272;;;;;;;
3.363646984100342;280;;;;;;;
3.3759405612945557;294;;;;;;;
3.3831334114074707;296;;;;;;;
3.390268325805664;314;;;;;;;
3.4022722244262695;310;;;;;;;
3.4104201793670654;336;;;;;;;
3.4223098754882812;340;;;;;;;
3.4327950477600098;352;;;;;;;
3.443507194519043;354;;;;;;;
3.4524343013763428;364;;;;;;;
3.4651098251342773;366;;;;;;;
3.4743645191192627;380;;;;;;;
3.484208106994629;382;;;;;;;
3.4924216270446777;398;;;;;;;
3.5030508041381836;390;;;;;;;
3.5140905380249023;390;;;;;;;
3.5218889713287354;398;;;;;;;
3.5360188484191895;398;;;;;;;
3.544245719909668;396;;;;;;;
3.556563377380371;402;;;;;;;
3.564338207244873;396;;;;;;;
3.576636552810669;388;;;;;;;
3.584573984146118;386;;;;;;;
3.5972297191619873;376;;;;;;;
3.6053781509399414;364;;;;;;;
3.613760232925415;364;;;;;;;
3.626157283782959;348;;;;;;;
3.630204916000366;328;;;;;;;
3.6438217163085938;332;;;;;;;
3.651552200317383;322;;;;;;;
3.6668598651885986;310;;;;;;;
3.675032615661621;302;;;;;;;
3.6875293254852295;286;;;;;;;
3.694857120513916;284;;;;;;;
3.7080190181732178;254;;;;;;;
3.715571641921997;260;;;;;;;
3.7224321365356445;244;;;;;;;
3.736490249633789;238;;;;;;;
3.7440736293792725;224;;;;;;;
3.7548880577087402;210;;;;;;;
3.7649154663085938;204;;;;;;;
3.777672052383423;188;;;;;;;
3.785820484161377;180;;;;;;;
3.798535108566284;172;;;;;;;
3.802563190460205;166;;;;;;;
3.818596601486206;164;;;;;;;
3.824828624725342;150;;;;;;;
3.837876081466675;144;;;;;;;
3.845315456390381;136;;;;;;;
3.854987859725952;128;;;;;;;
3.8635120391845703;126;;;;;;;
3.874927043914795;120;;;;;;;
3.8853838443756104;118;;;;;;;
3.8938446044921875;112;;;;;;;
3.908010721206665;116;;;;;;;
3.9171254634857178;110;;;;;;;
3.9289307594299316;112;;;;;;;
3.9374442100524902;108;;;;;;;
3.949690103530884;116;;;;;;;
3.957744598388672;118;;;;;;;
3.9703452587127686;110;;;;;;;
3.9783759117126465;116;;;;;;;
3.986401081085205;120;;;;;;;
3.9988653659820557;120;;;;;;;
4.0054566860198975;126;;;;;;;
4.018392562866211;128;;;;;;;
4.0272605419158936;136;;;;;;;
4.039596319198608;146;;;;;;;
4.045496940612793;142;;;;;;;
4.058277606964111;148;;;;;;;
4.066720724105835;162;;;;;;;
4.080545663833618;174;;;;;;;
4.08874773979187;182;;;;;;;
4.09681248664856;192;;;;;;;
4.1093361377716064;202;;;;;;;
4.115550756454468;218;;;;;;;
4.127234697341919;220;;;;;;;
4.1381518840789795;236;;;;;;;
4.150488376617432;238;;;;;;;
4.158671140670776;250;;;;;;;
4.1690967082977295;262;;;;;;;
4.1790549755096436;278;;;;;;;
4.191190004348755;286;;;;;;;
4.199430704116821;298;;;;;;;
4.211791038513184;306;;;;;;;
4.217110872268677;316;;;;;;;
4.232083797454834;320;;;;;;;
4.240323543548584;332;;;;;;;
4.245932340621948;336;;;;;;;
4.257744789123535;352;;;;;;;
4.266149282455444;350;;;;;;;
4.27798867225647;364;;;;;;;
4.288196086883545;364;;;;;;;
4.302024841308594;370;;;;;;;
4.310122489929199;372;;;;;;;
4.322638750076294;378;;;;;;;
4.330610513687134;374;;;;;;;
4.343031644821167;366;;;;;;;
4.351043462753296;370;;;;;;;
4.359596014022827;374;;;;;;;
4.359596014022827;372;;;;;;;
4.379787445068359;364;;;;;;;
4.392122983932495;348;;;;;;;
4.40027117729187;358;;;;;;;
4.412646293640137;358;;;;;;;
4.420693874359131;350;;;;;;;
4.433521747589111;338;;;;;;;
4.441322565078735;324;;;;;;;
4.448666334152222;314;;;;;;;
4.460775375366211;322;;;;;;;
4.469786882400513;308;;;;;;;
4.481803894042969;296;;;;;;;
4.490323543548584;292;;;;;;;
4.5013837814331055;272;;;;;;;
4.510476589202881;268;;;;;;;
4.521871328353882;250;;;;;;;
4.531176805496216;248;;;;;;;
4.542867183685303;244;;;;;;;
4.551904678344727;230;;;;;;;
4.564041614532471;222;;;;;;;
4.572185039520264;206;;;;;;;
4.580247402191162;204;;;;;;;
4.592737913131714;180;;;;;;;
4.60096549987793;174;;;;;;;
4.613035678863525;182;;;;;;;
4.621408700942993;174;;;;;;;
4.633561611175537;164;;;;;;;
4.6399455070495605;158;;;;;;;
4.65234112739563;156;;;;;;;
4.660249471664429;144;;;;;;;
4.674249172210693;130;;;;;;;
4.681214094161987;134;;;;;;;
4.693203449249268;130;;;;;;;
4.7034831047058105;124;;;;;;;
4.715555667877197;122;;;;;;;
4.723552942276001;120;;;;;;;
4.731847763061523;124;;;;;;;
4.744239091873169;120;;;;;;;
4.752493381500244;122;;;;;;;
4.764824151992798;120;;;;;;;
4.772649526596069;126;;;;;;;
4.78484845161438;124;;;;;;;
4.793147802352905;128;;;;;;;
4.805809020996094;128;;;;;;;
4.813145399093628;132;;;;;;;
4.825194597244263;144;;;;;;;
4.834097146987915;136;;;;;;;
4.846063852310181;148;;;;;;;
4.854700326919556;156;;;;;;;
4.861839056015015;156;;;;;;;
4.872841119766235;168;;;;;;;
4.872841119766235;170;;;;;;;
4.894787311553955;184;;;;;;;
4.903273820877075;194;;;;;;;
4.916305065155029;200;;;;;;;
4.924501180648804;214;;;;;;;
4.935076951980591;216;;;;;;;
4.9451820850372314;232;;;;;;;
4.957184076309204;232;;;;;;;
4.965376853942871;240;;;;;;;
4.9776835441589355;254;;;;;;;
4.985969543457031;264;;;;;;;
4.998429775238037;262;;;;;;;
5.006396532058716;288;;;;;;;
5.011341571807861;294;;;;;;;
5.026699066162109;302;;;;;;;
5.03366231918335;308;;;;;;;
5.045406818389893;326;;;;;;;
5.053556442260742;318;;;;;;;
5.065603733062744;332;;;;;;;
5.076071739196777;320;;;;;;;
5.088465929031372;340;;;;;;;
5.092503786087036;342;;;;;;;
5.109081268310547;348;;;;;;;
5.117127180099487;350;;;;;;;
5.129319429397583;356;;;;;;;
5.137606143951416;352;;;;;;;
5.143310546875;364;;;;;;;
5.158026933670044;362;;;;;;;
5.1662070751190186;358;;;;;;;
5.178250789642334;338;;;;;;;
5.187071323394775;364;;;;;;;
5.196216821670532;344;;;;;;;
5.20692777633667;354;;;;;;;
5.216185092926025;344;;;;;;;
5.226269960403442;330;;;;;;;
5.232893943786621;330;;;;;;;
5.247803688049316;332;;;;;;;
5.253944396972656;320;;;;;;;
5.2685418128967285;314;;;;;;;
5.276413440704346;302;;;;;;;
5.288984060287476;304;;;;;;;
5.296862363815308;292;;;;;;;
5.309301137924194;278;;;;;;;
5.316417932510376;274;;;;;;;
5.329985618591309;270;;;;;;;
5.338201522827148;256;;;;;;;
5.346391439437866;256;;;;;;;
5.358347177505493;236;;;;;;;
5.366337537765503;232;;;;;;;
5.379554271697998;218;;;;;;;
5.3868067264556885;212;;;;;;;
5.399418115615845;200;;;;;;;
5.407846450805664;194;;;;;;;
5.417586803436279;188;;;;;;;
5.428028345108032;180;;;;;;;
5.436883211135864;174;;;;;;;
5.448054790496826;168;;;;;;;
5.4587273597717285;166;;;;;;;
5.466295480728149;156;;;;;;;
5.481328964233398;154;;;;;;;
5.488520622253418;146;;;;;;;
5.495436191558838;142;;;;;;;
5.508308172225952;140;;;;;;;
5.518275022506714;138;;;;;;;
5.528569459915161;134;;;;;;;
5.536672830581665;132;;;;;;;
5.550675630569458;132;;;;;;;
5.558856248855591;134;;;;;;;
5.571621417999268;134;;;;;;;
5.578918695449829;134;;;;;;;
5.591420412063599;134;;;;;;;
5.599479913711548;140;;;;;;;
5.6123456954956055;136;;;;;;;
5.6207921504974365;136;;;;;;;
5.628946781158447;138;;;;;;;
5.641305446624756;144;;;;;;;
5.64936900138855;154;;;;;;;
5.66174054145813;154;;;;;;;
5.669960021972656;158;;;;;;;
5.682108163833618;174;;;;;;;
5.690115451812744;180;;;;;;;
5.702636480331421;182;;;;;;;
5.710905075073242;192;;;;;;;
5.723033905029297;200;;;;;;;
5.731046915054321;208;;;;;;;
5.743677616119385;210;;;;;;;
5.751866102218628;228;;;;;;;
5.764149904251099;232;;;;;;;
5.77228569984436;244;;;;;;;
5.784597396850586;250;;;;;;;
5.789400100708008;246;;;;;;;
5.800784587860107;264;;;;;;;
5.81309700012207;276;;;;;;;
5.8212363719940186;284;;;;;;;
5.833646774291992;292;;;;;;;
5.841866970062256;298;;;;;;;
5.853709936141968;306;;;;;;;
5.861908197402954;308;;;;;;;
5.8740692138671875;302;;;;;;;
5.880730628967285;324;;;;;;;
5.891501188278198;330;;;;;;;
5.891501188278198;332;;;;;;;
5.915677070617676;338;;;;;;;
5.923922538757324;336;;;;;;;
5.932177305221558;346;;;;;;;
5.944209337234497;332;;;;;;;
5.952449321746826;344;;;;;;;
5.964870452880859;338;;;;;;;
5.973585367202759;346;;;;;;;
5.985350847244263;344;;;;;;;
5.990707874298096;334;;;;;;;
6.002296686172485;342;;;;;;;
6.01426887512207;340;;;;;;;
6.022315502166748;332;;;;;;;
6.03451681137085;336;;;;;;;
6.040593862533569;324;;;;;;;
6.054980039596558;314;;;;;;;
6.062957763671875;310;;;;;;;
6.075392246246338;314;;;;;;;
